id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,,,
3243,3/16/11,,,United States,US,Ohio,1592,Powhatan Point,1.01208,,39.8541,-80.8243,"(39.854100000000003, -80.824299999999994)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.wtov9.com/news/27230901/detail.html,16-03-2011,2011,3
3244,3/16/11,19:00:00,,United States,US,Ohio,3541,Wellsville,3.09494,,40.5812,-80.672,"(40.581200000000003, -80.671999999999997)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.reviewonline.com/page/content.detail/id/542143/Slide-shuts-down-Route-7-near-Wellsville.html?nav=5008,16-03-2011,2011,3
3248,3/18/11,Night,,United States,US,New York,1009,Hadley,6.60211,,43.3197,-73.9295,"(43.319699999999997, -73.929500000000004)",Landslide,Mudslide,Medium,Rain,,,0,,http://www.fox23news.com/content/newsalert/story/UPDATE-Mudslide-took-out-road-2-hospitalized/IG5Hs-zbj0-6W3TuW9jDUw.cspx,18-03-2011,2011,3
3255,3/20/11,Afternoon,SA,Colombia,CO,Caldas,35302,Villamaría,2.36822,,5.0255,-75.5236,"(5.0255000000000001, -75.523600000000002)",Landslide,Landslide,Medium,Downpour,,,0,,http://colombiareports.com/colombia-news/news/15026-landslide-blocks-colombian-road.html,20-03-2011,2011,3
3262,3/21/11,Morning,,United States,US,Utah,7775,Summit Park,5.09388,,40.7388,-111.6712,"(40.738799999999998, -111.6712)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.abc4.com/content/news/top_stories/story/Crews-work-to-clean-Parleys-Canyon-mud-slide/ie6UW312ckCKJmLnad2MKg.cspx,21-03-2011,2011,3
3300,3/26/11,,SA,Colombia,CO,Norte de Santander,721398,Cúcuta,3.6052,Unknown,7.9467,-72.4908,"(7.9466999999999999, -72.490799999999993)",Landslide,Mudslide,Medium,Downpour,,,0,Caracol Radio,http://colombiareports.com/colombia-news/news/15175-landslide-destroys-houses-in-north-east-colombia.html,26-03-2011,2011,3
3303,3/26/11,Morning,,United States,US,California,9277,Valley Center,5.13929,,33.1817,-117.0005,"(33.181699999999999, -117.0005)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.signonsandiego.com/news/2011/mar/26/landslide-closes-part-lake-wohlford-road/,26-03-2011,2011,3
3311,3/28/11,,SA,Colombia,CO,Caldas,357814,Manizales,1.7085,,5.0569,-75.5271,"(5.0568999999999997, -75.527100000000004)",Landslide,Landslide,Medium,Rain,,,0,,http://colombiareports.com/colombia-news/news/15190-landslide-destroys-9-homes-in-manizales.html,28-03-2011,2011,3
3339,04-05-2011,03:00:00,,United States,US,Tennessee,14807,Sevierville,2.43605,,35.8473,-83.5703,"(35.847299999999997, -83.570300000000003)",Landslide,Mudslide,Small,Rain,,,0,,http://www.wbir.com/news/article/164883/2/Mudslide-blocks-traffic-outside-Gatlinburg,05-04-2011,2011,4
3340,04-05-2011,,,United States,US,West Virginia,2499,Bethlehem,1.94038,,40.0607,-80.6841,"(40.060699999999997, -80.684100000000001)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.wtov9.com/news/27451815/detail.html,05-04-2011,2011,4
3343,04-06-2011,,,United States,US,Pennsylvania,5677,Coraopolis,2.47173,,40.5196,-80.1376,"(40.519599999999997, -80.137600000000006)",Landslide,Landslide,Small,Rain,,,0,,http://www.yoursewickley.com/node/15064,06-04-2011,2011,4
3345,04-08-2011,,,United States,US,Ohio,20213,Rocky River,1.57593,Below road,41.4671,-81.8242,"(41.467100000000002, -81.824200000000005)",Landslide,Landslide,Small,Rain,,,0,Cleveland Plain Dealer,http://blog.cleveland.com/metro/2011/05/damage_to_hogsback_lane_in_cle.html,08-04-2011,2011,4
3346,04-09-2011,,,United States,US,West Virginia,1554,Chesapeake,25.09618,,37.9977,-81.5201,"(37.997700000000002, -81.520099999999999)",Landslide,Landslide,Small,Downpour,,,0,,http://wowktv.com/story.cfm?func=viewstory&storyid=97695,09-04-2011,2011,4
3347,04-10-2011,Early morning,SA,Colombia,CO,Antioquia,1999979,Medellín,4.19867,,6.2379,-75.5283,"(6.2378999999999998, -75.528300000000002)",Landslide,Landslide,Medium,Downpour,,,4,,http://www.hindustantimes.com/Landslides-kill-four-people-in-Colombia/Article1-683782.aspx,10-04-2011,2011,4
3351,04-10-2011,,,United States,US,Pennsylvania,3744,Millvale,2.94131,,40.4981,-80.0038,"(40.498100000000001, -80.003799999999998)",Landslide,Landslide,Small,Downpour,,,0,,http://www.wpxi.com/news/27552494/detail.html,10-04-2011,2011,4
3352,04-11-2011,Early morning,SA,Colombia,CO,Nariño,7279,El Tambo,0.60599,,1.4128,-77.398,"(1.4128000000000001, -77.397999999999996)",Landslide,Landslide,Medium,Downpour,,,0,,http://colombiareports.com/colombia-news/news/15511-southwest-colombia-landslide-kills-5-injures-1.html,11-04-2011,2011,4
3353,04-11-2011,,SA,Colombia,CO,Nariño,7279,El Tambo,3.81445,,1.4499,-77.3834,"(1.4499, -77.383399999999995)",Landslide,Mudslide,Medium,Downpour,,,5,,http://www.insidecostarica.com/dailynews/2011/april/12/latinamerica11041202.htm,11-04-2011,2011,4
3355,04-12-2011,03:00:00,,Grenada,GD,Saint Mark,2256,Victoria,1.19981,,12.1979,-61.699,"(12.197900000000001, -61.698999999999998)",Landslide,Landslide,Small,Downpour,,,0,,http://stormcarib.com/reports/current/report.php?id=1302618053_40629,12-04-2011,2011,4
3356,04-12-2011,Morning,,Grenada,GD,Saint John,3378,Gouyave,5.65355,,12.1353,-61.6871,"(12.135300000000001, -61.687100000000001)",Landslide,Landslide,Small,Downpour,,,0,,http://stormcarib.com/reports/current/report.php?id=1302618053_40629,12-04-2011,2011,4
